time	A7	B7	C7	D7	E7	F7	G7	H7	A8	B8	C8	D8	E8	F8	G8	H8	A9	B9	C9	D9	E9	F9	G9	H9
750	0.081	0.068	0.084	0.068	0.081	0.067	0.07	0.052	0.081	0.066	0.082	0.068	0.079	0.064	0.07	0.05	0.073	0.069	0.079	0.069	0.078	0.064	0.072	0.05
765	0.083	0.067	0.084	0.068	0.08	0.067	0.07	0.052	0.081	0.066	0.082	0.068	0.078	0.064	0.069	0.05	0.072	0.069	0.078	0.068	0.079	0.064	0.072	0.05
780	0.08	0.067	0.083	0.069	0.079	0.067	0.07	0.051	0.082	0.067	0.081	0.068	0.078	0.064	0.069	0.05	0.072	0.069	0.078	0.068	0.078	0.064	0.072	0.05
795	0.08	0.068	0.084	0.068	0.079	0.066	0.07	0.052	0.081	0.066	0.081	0.067	0.077	0.064	0.069	0.05	0.072	0.069	0.078	0.068	0.078	0.064	0.072	0.05
810	0.081	0.068	0.083	0.068	0.079	0.066	0.069	0.052	0.082	0.066	0.081	0.067	0.076	0.064	0.069	0.05	0.071	0.069	0.078	0.068	0.078	0.063	0.071	0.05
825	0.081	0.068	0.085	0.067	0.079	0.066	0.069	0.051	0.079	0.066	0.081	0.067	0.076	0.064	0.068	0.05	0.071	0.068	0.078	0.068	0.078	0.064	0.071	0.05
840	0.081	0.068	0.084	0.067	0.078	0.066	0.069	0.052	0.08	0.066	0.081	0.067	0.076	0.063	0.068	0.05	0.071	0.069	0.077	0.068	0.077	0.063	0.071	0.05
855	0.08	0.067	0.083	0.067	0.078	0.066	0.069	0.051	0.08	0.066	0.081	0.067	0.076	0.063	0.068	0.05	0.071	0.068	0.077	0.067	0.077	0.063	0.071	0.05
870	0.081	0.067	0.084	0.067	0.078	0.066	0.069	0.051	0.079	0.066	0.081	0.067	0.075	0.063	0.068	0.05	0.07	0.068	0.076	0.067	0.077	0.063	0.071	0.05
885	0.081	0.067	0.084	0.067	0.077	0.066	0.068	0.051	0.078	0.066	0.081	0.067	0.075	0.063	0.068	0.05	0.07	0.068	0.076	0.067	0.076	0.063	0.07	0.05
900	0.083	0.067	0.084	0.068	0.077	0.066	0.068	0.051	0.078	0.066	0.08	0.067	0.074	0.063	0.068	0.05	0.07	0.068	0.076	0.067	0.076	0.063	0.07	0.05
915	0.081	0.067	0.083	0.067	0.077	0.065	0.068	0.051	0.077	0.065	0.08	0.066	0.074	0.063	0.068	0.05	0.069	0.068	0.076	0.067	0.076	0.063	0.07	0.05
930	0.081	0.067	0.083	0.066	0.077	0.065	0.068	0.051	0.078	0.065	0.08	0.066	0.074	0.063	0.067	0.05	0.069	0.068	0.075	0.067	0.075	0.062	0.07	0.05
945	0.08	0.066	0.081	0.066	0.076	0.065	0.068	0.051	0.078	0.065	0.08	0.066	0.074	0.063	0.067	0.05	0.069	0.068	0.075	0.067	0.075	0.062	0.07	0.05
960	0.081	0.066	0.08	0.066	0.076	0.065	0.068	0.051	0.078	0.065	0.079	0.066	0.073	0.062	0.067	0.05	0.069	0.068	0.075	0.066	0.075	0.062	0.07	0.05
975	0.08	0.067	0.08	0.067	0.076	0.065	0.068	0.051	0.078	0.065	0.079	0.067	0.073	0.062	0.067	0.05	0.069	0.067	0.075	0.067	0.075	0.062	0.069	0.05
990	0.079	0.066	0.08	0.066	0.076	0.065	0.067	0.051	0.077	0.064	0.078	0.066	0.073	0.062	0.067	0.05	0.069	0.067	0.074	0.066	0.074	0.062	0.07	0.05
1005	0.08	0.065	0.08	0.067	0.076	0.065	0.067	0.051	0.076	0.065	0.078	0.066	0.073	0.062	0.066	0.05	0.069	0.067	0.074	0.066	0.075	0.062	0.069	0.05
1020	0.079	0.066	0.081	0.066	0.075	0.064	0.067	0.051	0.077	0.064	0.078	0.065	0.072	0.062	0.066	0.05	0.068	0.067	0.074	0.066	0.074	0.062	0.069	0.05
1035	0.078	0.066	0.079	0.066	0.075	0.064	0.067	0.051	0.075	0.065	0.077	0.065	0.072	0.062	0.066	0.049	0.068	0.067	0.074	0.066	0.074	0.062	0.069	0.05
1050	0.077	0.065	0.079	0.066	0.075	0.064	0.066	0.051	0.076	0.064	0.077	0.065	0.072	0.062	0.066	0.05	0.068	0.066	0.074	0.065	0.074	0.061	0.069	0.05
1065	0.077	0.065	0.08	0.066	0.075	0.064	0.066	0.051	0.075	0.064	0.078	0.065	0.072	0.061	0.065	0.05	0.068	0.067	0.073	0.065	0.073	0.061	0.068	0.05
1080	0.077	0.065	0.078	0.066	0.074	0.064	0.066	0.051	0.074	0.064	0.077	0.065	0.071	0.061	0.065	0.05	0.067	0.067	0.073	0.065	0.073	0.061	0.069	0.05
1095	0.077	0.065	0.077	0.066	0.074	0.064	0.066	0.051	0.074	0.064	0.077	0.065	0.071	0.061	0.065	0.05	0.067	0.066	0.073	0.065	0.073	0.061	0.068	0.051
