time	A4	B4	C4	D4	E4	F4	G4	H4	A5	B5	C5	D5	E5	F5	G5	H5	A6	B6	C6	D6	E6	F6	G6	H6
870	0.076	0.067	0.08	0.067	0.072	0.065	0.066	0.047	0.083	0.072	0.083	0.069	0.075	0.128	0.071	0.051	0.086	0.071	0.083	0.07	0.074	0.068	0.069	0.048
885	0.077	0.067	0.08	0.067	0.071	0.065	0.065	0.047	0.083	0.071	0.083	0.069	0.074	0.126	0.071	0.051	0.086	0.071	0.083	0.07	0.074	0.068	0.068	0.048
900	0.078	0.066	0.079	0.067	0.071	0.065	0.065	0.048	0.084	0.071	0.084	0.068	0.074	0.127	0.07	0.051	0.087	0.073	0.084	0.07	0.073	0.067	0.068	0.048
915	0.076	0.066	0.079	0.067	0.071	0.065	0.065	0.048	0.082	0.071	0.082	0.068	0.074	0.127	0.07	0.051	0.085	0.072	0.082	0.07	0.073	0.067	0.068	0.048
930	0.075	0.066	0.078	0.066	0.07	0.064	0.064	0.047	0.083	0.071	0.082	0.068	0.074	0.126	0.07	0.051	0.087	0.071	0.083	0.07	0.073	0.067	0.067	0.048
945	0.076	0.066	0.078	0.066	0.07	0.064	0.064	0.047	0.082	0.071	0.083	0.068	0.073	0.126	0.069	0.051	0.086	0.071	0.085	0.07	0.073	0.067	0.067	0.048
960	0.074	0.066	0.078	0.066	0.07	0.064	0.063	0.047	0.083	0.072	0.081	0.068	0.073	0.125	0.069	0.052	0.086	0.071	0.082	0.069	0.072	0.067	0.067	0.048
975	0.074	0.066	0.078	0.066	0.07	0.064	0.063	0.047	0.08	0.071	0.081	0.068	0.073	0.124	0.069	0.052	0.085	0.07	0.083	0.069	0.072	0.067	0.066	0.048
990	0.074	0.066	0.078	0.066	0.07	0.064	0.062	0.047	0.082	0.07	0.081	0.068	0.073	0.124	0.068	0.052	0.086	0.071	0.082	0.068	0.072	0.066	0.066	0.048
1005	0.072	0.065	0.077	0.065	0.069	0.064	0.062	0.048	0.08	0.07	0.081	0.067	0.073	0.124	0.068	0.052	0.083	0.07	0.082	0.068	0.072	0.066	0.066	0.048
1020	0.072	0.066	0.077	0.065	0.069	0.064	0.062	0.05	0.08	0.07	0.081	0.067	0.072	0.123	0.068	0.053	0.082	0.069	0.082	0.068	0.071	0.066	0.066	0.048
1035	0.072	0.065	0.076	0.065	0.069	0.063	0.061	0.047	0.08	0.07	0.08	0.067	0.072	0.123	0.067	0.053	0.083	0.069	0.08	0.068	0.071	0.066	0.065	0.048
1050	0.073	0.065	0.076	0.065	0.069	0.063	0.06	0.056	0.081	0.069	0.079	0.067	0.072	0.122	0.067	0.054	0.085	0.069	0.079	0.068	0.071	0.066	0.065	0.048
1065	0.072	0.065	0.076	0.065	0.068	0.063	0.06	0.071	0.079	0.069	0.08	0.066	0.072	0.12	0.067	0.055	0.085	0.069	0.08	0.068	0.071	0.066	0.064	0.048
1080	0.073	0.065	0.075	0.065	0.068	0.063	0.059	0.074	0.079	0.069	0.079	0.066	0.072	0.122	0.067	0.057	0.082	0.069	0.08	0.068	0.07	0.065	0.064	0.048
1095	0.071	0.065	0.075	0.064	0.068	0.063	0.059	0.077	0.079	0.069	0.079	0.066	0.071	0.121	0.066	0.062	0.083	0.069	0.079	0.067	0.07	0.065	0.064	0.048
1110	0.071	0.065	0.075	0.065	0.068	0.062	0.059	0.073	0.078	0.069	0.078	0.066	0.071	0.119	0.066	0.074	0.083	0.069	0.079	0.067	0.07	0.065	0.064	0.047
1125	0.07	0.065	0.074	0.064	0.067	0.062	0.058	0.067	0.078	0.069	0.078	0.066	0.071	0.12	0.066	0.082	0.082	0.068	0.078	0.067	0.07	0.065	0.063	0.047
